Arabic	Arabic_SafeBW	CAPHI	LOC
<<<<<	<<<<<		
>>>>>	>>>>>		
ء	C	2	ʼ
<<<<<آ	<<<<<M	2 aa	ā
آ	M	2 aa	ʼā
آء	MC	aa 2	āʼ
أ	O	2	ʼ
<<<<<أ	<<<<<O	2 a	a
<<<<<أَ	<<<<<Oa	2 a	a
<<<<<أُ	<<<<<Ou	2 u	u
<<<<<أُو	<<<<<Ouw	2 uu	ū
ؤ	W	2	ʼ
<<<<<إِي	<<<<<Iiy	2 ii	ī
<<<<<إِ	<<<<<Ii	2 i	i
<<<<<إ	<<<<<I	2 i	i
إ	I	2	ʼ
ئ	Q	2	ʼ
<<<<<ا	<<<<<A	2 a	a
<<<<<اِ	<<<<<Ai	2 i	i
َا	aA	aa	ā
ا	A	aa	ā
َو	aw	a w	aw
َي	ay	a y	ay
ب	b	b	b
ة>>>>>	p>>>>>		h
ة	p		t
ت	t	t	t
ث	v	th	th
ج	j	dj	j
ح	H	7	ḥ
خ	x	kh	kh
د	d	d	d
ذ	V	dh	dh
ر	r	r	r
ز	z	z	z
س	s	s	s
ش	c	sh	sh
ص	S	s.	ṣ
ض	D	d.	ḍ
ط	T	t.	ṭ
ظ	Z	dh.	ẓ
ع	E	3	ʻ
غ	g	gh	gh
ـ	_		
ف	f	f	f
ق	q	q	q
ك	k	k	k
ل	l	l	l
م	m	m	m
ن	n	n	n
ه	h	h	h
و	w	w	w
ُوا		u w aa	uwā
ُوَ	uw	u w a	uwa
ُو	uw	uu	ū
ُوّ	uw~	u w w	ūw
َوّ	aw~	a w w	aww
ًى	FY	a n	an
َى	aY	a	á
ى	Y	a	á
ي	y	y	y
ِي	iy	ii	ī
يّ>>>>>	y~>>>>>	i y y	ī
َيّ	ay~	a y y	ayy
ِيّ>>>>>	iy~>>>>>	i y y	ī
ِيّ	iy~	i y y	īy
ِيا	iyA	i y a	iyā
ِيَ	iya	i y a	iya
اً	AF	a n	an
ًا	FA	a n	an
ً	F	a n	an
ً	F	a n	an
ٌ	N	u n	un
ٍ	K	i n	in
َ	a	a	a
ُ	u	u	u
ِ	i	i	i
ّ	~	~	~
ْ	o		
ٰ	e	aa	ā
<<<<<ٱ	<<<<<L	2	
پ	P	p	p
چ	J	dj	j
چ	J	tsh	j
ڤ	B	v	v
ڥ	ڥ	v	v
ۋ	ۋ	v	v
گ	G	g	g
ڧ	ڧ	q	q
ڢ	ڢ	f	f
ڢ	ڢ	f	f
؛	؛	;	;
،	،	,	,
؟	؟	?	?
٠	٠	0	0
١	١	1	1
٢	٢	2	2
٣	٣	3	3
٤	٤	4	4
٥	٥	5	5
٦	٦	6	6
٧	٧	7	7
٨	٨	8	8
٩	٩	9	9